transaction_id,employee_id,transaction_type,amount,payment_mode,bank_name,account_number,transaction_date,transaction_status
1,1,Claim_Payout,44184,Cash,,,2024-10-06,Pending
2,1,Claim_Payout,16483,UPI,Nainital Bank,SGES5260808335823,2024-10-28,Pending
3,1,Claim_Payout,61277,UPI,Nainital Bank,DIPM9491373089304,2024-11-15,Pending
4,2,Salary,137636,Bank Transfer,Yes Bank,LJUD8608447011218,2024-03-18,Pending
5,2,Claim_Payout,55379,Bank Transfer,Federal Bank,NJXC3428378325151,2024-08-07,Success
6,3,Claim_Payout,131434,Bank Transfer,Punjab and Sind Bank,PQXZ8433606528831,2025-01-27,Failed
7,3,Claim_Payout,21229,Cash,,,2025-10-03,Success
8,3,Reimbursement,27549,UPI,HDFC Bank,SUSC4263032421922,2023-11-07,Failed
9,4,Claim_Payout,71580,UPI,Axis Bank,VFNB7404467284098,2025-05-15,Failed
10,4,Claim_Payout,39162,Cash,,,2023-04-08,Failed
11,4,Salary,121895,Cash,,,2025-06-23,Pending
12,5,Reimbursement,51083,Cash,,,2023-02-07,Pending
13,5,Claim_Payout,86197,UPI,Karnataka Bank,PMXN5485387289993,2023-02-22,Failed
14,6,Salary,53984,UPI,Jammu & Kashmir Bank,OAPP5861272094889,2024-06-21,Success
15,6,Reimbursement,10099,UPI,HDFC Bank,WVDW7318577976544,2025-11-15,Pending
16,6,Salary,112539,Cash,,,2024-04-12,Pending
17,7,Salary,21581,Bank Transfer,Indian Bank,JBPA1302839185640,2025-06-26,Failed
18,7,Claim_Payout,132412,UPI,City Union Bank,XYKU9502194069763,2024-01-06,Failed
19,8,Claim_Payout,60223,Bank Transfer,Karur Vysya Bank,UNKA2177294506368,2024-10-24,Pending
20,8,Salary,34428,UPI,South Indian Bank,IBWH8865442201393,2024-01-11,Success
21,8,Reimbursement,98698,Cash,,,2023-03-05,Success
22,9,Reimbursement,103609,Cash,,,2025-02-11,Success
23,9,Salary,78116,UPI,UCO Bank,BBZK1041450903904,2024-05-28,Pending
24,9,Reimbursement,121362,Bank Transfer,Bank of India,MDXQ5193126476239,2024-10-22,Failed
25,9,Salary,148913,UPI,Federal Bank,HHGM3959776653921,2023-11-24,Pending
26,10,Reimbursement,63507,UPI,HDFC Bank,AYXP4274310359892,2023-02-21,Failed
27,10,Salary,132833,Cash,,,2025-01-18,Failed
28,10,Reimbursement,43371,UPI,CSB Bank,XXVE4709548169497,2025-02-05,Success
29,10,Reimbursement,81588,Bank Transfer,HDFC Bank,NITL0369227933491,2024-05-18,Success
30,11,Reimbursement,38465,Cash,,,2023-07-11,Success
31,11,Reimbursement,31241,Bank Transfer,RBL Bank,WUQR7649840147274,2024-06-21,Success
32,11,Salary,132873,Bank Transfer,Bank of Baroda,ATZJ7283276097229,2024-04-24,Failed
33,11,Reimbursement,63339,Bank Transfer,Indian Bank,XZZV6082959793503,2023-12-09,Failed
34,12,Claim_Payout,105998,UPI,Dhanlaxmi Bank,HCFF9347385884690,2025-05-02,Failed
35,12,Salary,119527,Bank Transfer,IDBI Bank,QYMI7494119047628,2023-01-23,Success
36,12,Salary,27632,UPI,Central Bank of India,VZEY1214957579742,2024-09-15,Pending
37,13,Salary,146956,Cash,,,2023-04-08,Failed
38,13,Salary,62793,UPI,Punjab and Sind Bank,IXEV0927825364453,2023-11-26,Pending
39,13,Salary,113971,UPI,Dhanlaxmi Bank,MQKW5500080135397,2024-07-24,Pending
