transaction_id,employee_id,transaction_type,amount,payment_mode,bank_name,account_number,transaction_date,transaction_status
1,1,Claim_Payout,72238,Cash,,,2024-11-21,Failed
2,1,Reimbursement,129853,Bank Transfer,IDFC First Bank,QCSM8763043803293,2024-12-28,Failed
3,1,Reimbursement,34735,Cash,,,2023-10-04,Failed
4,2,Reimbursement,129752,Cash,,,2023-12-07,Failed
5,2,Reimbursement,123788,Bank Transfer,Indian Bank,DSUS0124604347118,2025-03-24,Failed
6,3,Salary,110083,UPI,Karnataka Bank,GZAX5931922432602,2025-02-16,Success
7,3,Salary,108429,Cash,,,2023-04-14,Pending
8,3,Salary,20995,Cash,,,2024-05-02,Success
9,3,Claim_Payout,43280,Bank Transfer,RBL Bank,MOWC3254072852679,2023-03-08,Failed
10,4,Reimbursement,145002,Bank Transfer,Indian Bank,XVNY8966834121434,2023-11-16,Failed
11,4,Reimbursement,13974,UPI,Indian Bank,PBLQ9221270206157,2025-06-14,Pending
12,4,Salary,68401,Bank Transfer,IndusInd Bank,CNMP1103816710885,2025-08-01,Failed
13,5,Salary,22171,Cash,,,2025-02-21,Success
14,5,Salary,69983,UPI,IDBI Bank,AVLN1992170584410,2023-05-02,Pending
15,5,Salary,21884,Cash,,,2025-06-14,Failed
16,5,Salary,119359,Bank Transfer,RBL Bank,VVNZ1158557433497,2024-09-17,Pending
17,6,Reimbursement,146642,Bank Transfer,Dhanlaxmi Bank,GLNK4588542789804,2025-08-20,Success
18,6,Salary,86102,Bank Transfer,HDFC Bank,EGYX6504922388964,2024-08-25,Failed
19,6,Reimbursement,82854,Bank Transfer,Indian Bank,LEDD3081701551840,2025-03-05,Failed
20,6,Salary,97936,UPI,Bandhan Bank,PUUU0869075516607,2023-03-05,Pending
21,7,Salary,28163,Bank Transfer,Karur Vysya Bank,INLJ2538990156750,2024-10-13,Pending
22,7,Salary,149148,Cash,,,2025-11-24,Failed
23,7,Salary,45965,UPI,Kotak Mahindra Bank,QSQK7945121138963,2023-08-22,Success
24,8,Salary,48693,Cash,,,2024-04-07,Pending
25,8,Salary,71392,Cash,,,2025-06-13,Success
26,8,Salary,119759,Bank Transfer,City Union Bank,MUWX0304521117823,2023-06-15,Success
27,8,Claim_Payout,139055,UPI,IDBI Bank,OPYO4643317068913,2024-11-23,Failed
28,9,Claim_Payout,117474,Bank Transfer,DCB Bank,YNVK5750023030792,2024-09-21,Failed
29,9,Salary,71167,Cash,,,2025-05-30,Failed
30,9,Reimbursement,92430,Cash,,,2023-06-08,Success
31,10,Reimbursement,128159,UPI,CSB Bank,QJBB8875608883496,2023-04-30,Failed
